,prompts,prompt_intent,word_entities
0,it would be nice if you could please add the song sweden minecraft cover to my video game soundtracks playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
1,it would be nice if you could please put the song silksong piano cover into game time,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5, 5]"
2,put the song how to train your dragon main theme into work,0,"[0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 5]"
3,would you please put the song toss a coin to your witcher into natural,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 5]"
4,it would be nice if you could please put mirror temple jazz cover into my favorites playlist,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 7, 7, 7, 0, 0, 5, 0]"
5,please put raise your blades into my movie soundtracks playlist,0,"[6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
6,it'd be great if you could add the song silksong piano cover to my video game soundtracks playlist,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 5, 5, 0]"
7,it'd be great if you could put the song the queen's gambit into game time,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5, 5]"
8,would you please put the song i'm still me into work,0,"[6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 5]"
9,would you please put i'm still me into my beat saber playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
10,it'd be great if you could put the song toss a coin to your witcher into tks,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 7, 7, 0, 5]"
11,will you please add this to my cleaning playlist,0,"[6, 6, 6, 0, 0, 0, 0, 5, 0]"
12,will you please put i'm still me into my old fashioned playlist,0,"[6, 6, 6, 0, 7, 7, 7, 0, 0, 5, 5, 0]"
13,can't you just add the song rainbow road to my old fashioned playlist,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 5, 0]"
14,it would be nice if you could please put the song mirror temple jazz cover into natural,0,"[6, 6, 6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 7, 0, 5]"
15,can you add the song pixel galaxy to my peaceful playlist,0,"[6, 6, 0, 0, 0, 7, 7, 0, 0, 5, 0]"
16,it'd be great if you could add the song hopes and dreams to my relaxing playlist,0,"[6, 6, 6, 6, 6, 6, 0, 0, 0, 7, 7, 7, 0, 0, 5, 0]"
17,will you please put the song duck tails into aesthetic,0,"[6, 6, 6, 0, 0, 0, 7, 7, 0, 5]"
